accuracy_after_ft,accuracy_before_ft,accuracy_drop,accuracy_recovery,achieved_sparsity_global,error,method,pruning_method,run_dir,seed,target_sparsity
0.015,0.015,0.7061,0.0,0.48200757575757575,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.5
0.01,0.01,0.7111,0.0,0.6808712121212122,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.7
0.01,0.01,0.7111,0.0,0.7769886363636364,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.8
0.01,0.01,0.7111,0.0,0.8752367424242424,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.9
0.7183,0.7183,0.006199999999999983,0.0,0.09990530303030302,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.1
0.0375,0.0375,0.687,0.0,0.2999526515151515,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.3
0.0175,0.0175,0.7070000000000001,0.0,0.4815340909090909,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.5
0.01,0.01,0.7145,0.0,0.6777935606060606,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.7
0.01,0.01,0.7145,0.0,0.7760416666666666,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.8
0.01,0.01,0.7145,0.0,0.8719223484848485,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.9
0.7167,0.7167,0.007800000000000029,0.0,0.09990530303030302,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.1
0.0209,0.0209,0.7036,0.0,0.29640151515151514,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.3
0.01,0.01,0.7145,0.0,0.48200757575757575,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.5
