accuracy_auc,method,n_points,pruning_method,run_dir,seed
0.1256477709923664,bp,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092620_13469051,42
0.13143154506437765,bp,6,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092630_13469052,123
0.11051862026862025,bp,6,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092630_13469052,123
0.07763745889387143,bp,6,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092630_13469052,123
0.11071793345543345,bp,6,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092630_13469052,123
0.11308238705738706,bp,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092630_13469052,123
0.13702287511506595,bp,6,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092636_13469055,1011
0.11543288549618318,bp,6,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092636_13469055,1011
0.06728055969038403,bp,6,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092636_13469055,1011
0.08615589312977098,bp,6,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092636_13469055,1011
0.1381802595419847,bp,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092636_13469055,1011
0.12921213190184044,bp,6,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092720_13469053,456
0.12820219847328243,bp,6,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092720_13469053,456
0.07256730370370369,bp,6,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092720_13469053,456
0.10393845801526717,bp,6,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092720_13469053,456
0.12087039694656486,bp,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092720_13469053,456
0.15884722732843132,bp,6,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092721_13469054,789
0.12618439694656486,bp,6,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092721_13469054,789
