accuracy_auc,method,n_points,pruning_method,run_dir,seed
0.04839499739447629,bp,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.04646009536784741,bp,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.08076597719437816,bp,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.04379249315068493,bp,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.05607290015847859,bp,6,composite,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.10062857142857144,bp,6,cluster_aware,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.16616099177936886,bp,6,cap_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.20819639352956776,bp,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.15176673296207902,bp,6,cluster_aware_stratified_twoaxis_adaptive_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011
0.05491169575410263,bp_decov,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.040676622137404576,bp_decov,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.07539102496016994,bp_decov,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.044166036702273356,bp_decov,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.07847965738758028,bp_decov,6,composite,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.09848312867058198,bp_decov,6,cluster_aware,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.14575029208709503,bp_decov,6,cap_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.23808410780669137,bp_decov,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.06255058417419013,bp_decov,6,cluster_aware_stratified_twoaxis_adaptive_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42
0.05963792654337066,bp_decov,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.05475729877216917,bp_decov,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.07553147410358564,bp_decov,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.046578751369112825,bp_decov,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.06928458466453673,bp_decov,6,composite,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.10351718625099918,bp_decov,6,cluster_aware,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.18292752988047808,bp_decov,6,cap_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.23087614873837978,bp_decov,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.11694037184594955,bp_decov,6,cluster_aware_stratified_twoaxis_adaptive_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123
0.04641896821261074,bp_decov,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
0.045161038430089936,bp_decov,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
0.08356871019108279,bp_decov,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
0.03178433734939759,bp_decov,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
0.07455655868295272,bp_decov,6,composite,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
